,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40
willing_to_try_pistachio,-0.14614433833822285,0.10937333200301182,0.04600307564836128,-0.01974126819670198,-0.23650060424674826,-0.365188501914605,-0.04444317150726526,-0.02771382755096685,-0.23556028098970355,0.4026202404005421,0.06402988309414866,0.06597168506190257,-0.050685889810546496,0.011095537988386195,0.09420779958073401,-0.00909468624197303,-0.005249262995099423,-0.0847960039179802,-0.0014099205801337681,-0.13695912104399474,0.17090469492084465,-0.13822783779044825,-0.0668739742845078,-0.11421928043970256,-0.1170952608692624,-0.036905920108351704,0.14243407848895542,-0.0730458879368358,0.04276330677211795,0.08650449244112796,0.1789717376816888,-0.06049389588086303,-0.14011678907505495,-0.29711036377689554,-0.49175055258871964,-0.08488424941814865,7.921611782500116e-16,1.1579310480592122e-16,-8.941282475624944e-17,2.5549860393309626e-16
willing_to_try_orange,-0.032988943314016556,0.1763676417515883,-0.14604073830880418,0.07475002401481826,-0.2166128182542614,-0.08677149652119202,0.03024059263982863,-0.09731189674245631,0.44913340523557516,-0.14344222668517206,0.09216684742784266,-0.15951161100242772,-0.14847790426627216,0.141941435974841,0.14011034987144838,0.1894088646311952,-0.19845295174940467,0.027576311103675016,-0.39184064323720397,0.10064783030588496,-0.02582976710401519,0.12751246237171754,0.06765939242352012,0.1856109302290465,0.20707178555607347,-0.12716433606439298,-0.08768262663636273,0.044245009059354155,0.13792900027069005,-0.09846514267303447,-0.2353728419885585,-0.0884806526875912,-0.06942897339105036,-0.21868595203160132,-0.21184545437494365,-0.06469672494813118,1.9960558546945348e-16,2.104572851396644e-16,-3.471757672197452e-18,2.253606984291804e-17
willing_to_try_carrot,-0.05865848608459991,0.21962285032939785,0.02867323472237656,-0.11819660850449783,0.25508925323657194,-0.21020712502778893,0.17946066298697907,-0.28463853417808566,0.22494397942064331,-0.03200686969841984,-0.02359146865723274,-0.10693729849799162,0.09170561912211087,-0.08499584659678504,-0.13873931364853073,-0.06190289247710544,0.04964297824053628,0.16543481848714972,0.005184889070595022,-0.10446991664024467,-0.3169632303922355,0.22100088615053343,0.18285232117533493,-0.0693048445221492,-0.29092980741554414,-0.07225409743355114,0.19701103658029412,0.27192475690174456,0.15907445238895165,0.0959780017924715,0.24696120105843813,-0.08933210095431557,-0.06047342182304085,0.19685508084975356,-0.15600057206419599,0.08689304600853713,-1.8411305024617096e-16,-7.9014314466219505e-16,-1.709225067102929e-16,3.2109330344298074e-17
willing_to_try_jalpai,-0.05244320088360496,0.32191362451122485,-0.06560958826833993,0.0847462193917544,0.092374514136987,-0.006728699498722565,0.011183310252187008,0.029469746142939998,0.2796902049478098,-0.20097842160723564,0.09885134337988392,0.018625108784724693,-0.022253334070188358,-0.17619082205142436,-0.011053171004190345,0.21245294292480307,0.2702259548712857,0.11802910184298353,0.24570923449848958,-0.011202000240696586,-9.420995002243367e-05,-0.018515906034294826,-0.38805583191326637,-0.19326489339898698,-0.1690543832227916,0.28214570317193854,-0.13107589000463393,-0.14206410613860537,-0.31059400128424114,-0.17949835595327407,-0.0373689254320197,0.042685053813956174,-0.13173336456717655,-0.14939183876458173,-0.11675684594372673,-0.023163291935720833,2.8823305964005186e-17,9.454699631208523e-17,1.0586467499204672e-16,-5.127099113282432e-17
willing_to_try_none_of_these,0.10444663378107229,-0.22357272461718153,0.015008370244648536,-0.07308811368848896,0.33940272820827244,0.29447578511780725,-0.08962345364788317,0.09679307809589613,-0.10971096836660414,-0.27186231638618136,-0.022599593241067646,-0.018184606438451222,-0.1486546603148089,0.10159429571894156,-0.05744606629443215,-0.17916000589276113,0.1434491190836885,-0.01919231428909458,0.05316556285762995,-0.006825823428589967,-0.23789798005837878,-0.045839715479133174,0.015828268420438305,0.17220979497129377,0.18695175362944405,0.17118171684338473,0.064238684907797,0.04521294473903081,0.10028800778654479,0.07000935934752604,0.08117641850960057,-0.10512122772593697,-0.14150421800379892,-0.3177885200564673,-0.4634637326364012,-0.09145628586388908,4.045844579163075e-16,2.428580737776313e-16,-1.164698193395278e-16,4.092320406167619e-16
willing_to_try_other,0.06027358265668666,0.03149066231988476,-0.13721282274683616,-0.07730048145856373,-0.075081178008093,0.21693176152148178,-0.30086414332299366,-0.2133794405214576,0.01730743848310263,0.19484820173518003,-0.34849737448862284,0.040375988926139854,0.3450630928348809,-0.13239230097469937,-0.21697281326377243,0.16608977455512985,0.015803183594562963,0.1684033601304273,-0.05508386339445232,0.0732742200569863,0.18092113674303553,0.06513200375894493,0.10518744641365396,0.08234747163403085,-0.10126988301457189,0.2666332056628529,-0.13451315525600493,-0.012578010298171072,0.07983920727810022,0.016628038638887444,-0.05203381763193781,-0.37798298235434613,0.2062680087105619,-0.1115464845767771,-0.0985105400100044,-0.029397082177428834,-3.061497947192471e-16,1.0599686419765058e-15,3.1654593091380477e-16,-9.560578902487306e-16
marketing_channel_social_media,-0.08057695247167067,-0.22002167655583357,0.15388435324558405,-0.05679225894253541,0.15088753089580625,-0.12390395753502884,0.19806330618372783,0.08915167050989249,0.026360008244399144,0.23453653935612656,-0.10020722867322843,0.0895265727589472,-0.0700728350230608,-0.3248988300505782,0.19090018036415382,0.32405034422110085,0.06875601823031562,0.18888209011599982,0.11291694739072868,0.2136579707617574,-0.327385467920932,-0.17703470370923083,0.15511822157983274,0.11851487350764572,0.00881436547791375,-0.1600350355787796,-0.20479318885919484,-0.19069602151559278,0.12926858944003705,-0.11459035742267187,-0.032777738485760856,-0.05531605249279595,0.017678897314627552,-0.09884433958053018,0.02114762762554161,-0.05977010112466213,0.2558347521070548,-0.17193384359124594,-0.03777627268899914,-0.042336684198289086
marketing_channel_tv_ads,-0.10993677631918487,-0.07577155239611723,0.3073621974574582,-0.05464494991351261,0.049481025771276756,-0.1833938420199237,-0.04953726160133738,-0.3427334473822447,-0.14335926674589358,0.015677169345705087,0.014073153750800588,-0.27009046794213915,0.1275901079877187,-0.10749572998059469,-0.003262768405278416,-0.12821615881047177,0.15783866309956612,-0.030509945802429172,-0.20306074178107428,0.007720620995710446,-0.04084390879505183,0.05527747260793541,-0.371094392103751,-0.08803574949661126,0.3376182321909231,0.1162857910186426,-0.10459087828959779,0.10118577162760499,-0.033182764824285935,0.1861913215362237,-0.2208353119715742,-0.11591235600076917,-0.14597122993075198,0.026059051542150737,0.11314908603947726,0.008272197897121695,0.2743203110667305,-0.18435707060279616,-0.04050582960149074,-0.04539575754723376
marketing_channel_word_of_mouth,-0.07984776409850143,0.1411760885220346,0.000262258032177856,0.19665720934502814,-0.03827677481320623,0.44638437596309444,0.04052256866134543,-0.14601658562691666,-0.054941161023798306,0.1551754856015655,0.0656770720837277,0.22062722694149772,-0.12166706657370908,-0.09205101329062867,-0.22652153402438432,0.23785726109424737,0.25322929119144444,-0.07087283769906792,-0.1230449149615183,0.13150561120330348,0.06587973044937981,0.11726795854695199,-0.07277953330302546,-0.033804411846947345,0.1374461659881962,-0.29588625991679557,0.2237358291348091,0.12461126863427323,-0.03195784614301896,0.06670944298133513,0.04440009044948009,0.24812358077039434,0.09713234622255253,0.09662749466673193,-0.18166162205971018,-0.001055200952543777,0.25815004592459945,-0.1734898376921841,-0.038118146378505885,-0.04271982942141486
marketing_channel_in-store_promotions___shopkeeper_recommendation,-0.08534817880741873,0.05061039126857751,0.08337791954134562,0.07215965139306414,-0.32144820221289633,0.20041436814107733,-0.026315292040226153,0.2482346274431778,0.021659205372478993,-0.13638223793780094,0.22482575312081163,-0.15254050892635684,0.3636663934597037,0.2231466665511608,0.027489623908759628,-0.10104768470262923,0.20007477569025356,0.21998081691038396,0.08444905035331134,-0.22501736231286115,-0.13284552630905963,-0.06269382212579083,0.07012682623542767,-0.06500176380834836,-0.1741559964731638,-0.16432983222839628,-0.208298131613361,-0.1467185831841103,0.2071816700216912,0.22072146016220054,-0.08487991587329369,-0.0031838508566787277,0.04039960861741342,0.05750921949816677,-0.10174733184951844,-0.03704781195704124,0.24248974425409614,-0.1629653259288979,-0.03580576379003936,-0.04012829234205708
