,"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",prefers_type_premium_cups_(exclusive_flavors),prefers_type_cone,prefers_type_lolly,"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",prefers_type_box_or_tubs,prefers_type_scoops_(from_ice_cream_parlor),prefers_type_other,factor_taste,factor_price,factor_availability,factor_brand_reputation,factor_flavors,factor_packaging,factor_health_value,factor_other,willing_to_try_pistachio,willing_to_try_orange,willing_to_try_carrot,willing_to_try_jalpai,willing_to_try_none_of_these,willing_to_try_other,marketing_channel_social_media,marketing_channel_tv_ads,marketing_channel_word_of_mouth,marketing_channel_in-store_promotions___shopkeeper_recommendation,marketing_channel_billboards,marketing_channel_online_ads,marketing_channel_other,motivation_price_discounts,motivation_new_flavors,motivation_availability,motivation_attractive_packaging,motivation_brand_reputation,motivation_word_of_mouth,motivation_advertisement,motivation_other,num_types_preferred,num_purchase_factors,num_marketing_channels
factor_availability,0.09698125277103828,0.27572737166888955,0.12794834042128464,0.18953974290881279,0.10146992769801105,0.2176537758319929,0.04100803225919479,0.08871002454439063,0.13304327375332048,0.17070967214980234,1.0,0.1469879518072289,0.23893109704737434,0.2608029459237643,0.030681461724201352,0.030681461724201352,0.06872918978719515,0.056489507331770675,0.06779448632287553,0.06887449220027203,-0.17901018972829996,-0.06003465857874309,0.11525410346278712,0.16368157601777544,-0.00347174509097009,0.20475590059109924,0.18891847270381884,0.1338612333377648,-0.02751935635479948,0.007548289552845782,0.1906608509539907,0.3461357346707857,0.05327130714462075,0.08955228032371466,0.22988787905654617,0.12216547587734548,0.018608683229876133,0.2886212011578744,0.5432551869946975,0.29662680172639644
factor_brand_reputation,0.2084467186182709,0.18953974290881284,0.12794834042128467,0.10335211414873612,0.2506718151542768,0.3687311025859646,0.2409645531924588,0.08871002454439059,0.08256383226492237,0.09540596630428215,0.1469879518072289,1.0,0.2789224012340273,0.26080294592376435,0.1977774224990828,0.1977774224990828,0.181368695271765,0.017047129431481126,-0.050720319397114265,0.06887449220027203,-0.03850108293491155,-0.06003465857874313,0.19792877950296278,0.04802633068785028,-0.08540492923786452,0.030306830051390135,0.13731574173379435,0.33533604882062545,0.04628255386943564,0.04466071318767088,0.11227067530043353,0.19693384721452006,0.2950410857240534,0.5582573604050921,0.021220419605219684,0.28474659790960233,0.01860868322987619,0.4107998620964547,0.5885664519286963,0.2641273007015918
factor_flavors,0.08928104359436158,0.1736639828482629,0.17273993572605303,0.3433728853418034,0.0874517159143037,0.4109269088493477,0.3386720053386722,-0.02026827274186626,0.05180448279917876,0.17183885470247642,0.23893109704737434,0.2789224012340273,1.0,0.18283843835748992,0.03857185087346654,0.03857185087346654,0.3076299803859879,0.16421443295365354,0.12113130252156223,0.1966885647741177,-0.31301375605355697,-0.13678822577626598,0.06725503562825215,0.05628981453356195,0.14765945930065913,0.16228979693693013,0.18513512836978624,0.20978915883801708,-0.035714394047563096,-0.04335059295932697,0.3649585362677976,0.27978324771159785,0.13044582312363884,0.22681686519035385,0.37118431698688703,0.21432601690853306,0.07328335291793252,0.40988226008085205,0.5501631322203747,0.30424064958855246
factor_packaging,0.14993023385707735,0.2321444618221779,0.2496023538122342,0.08052243325197316,0.3447794547397051,0.13514061940433386,0.192377835141359,0.2089572372435574,-0.027092707303603136,0.18262081629132307,0.2608029459237643,0.26080294592376435,0.18283843835748992,1.0,0.14393358716086394,0.14393358716086394,0.10225019557704361,-0.10506111072706256,0.10954679137473394,-0.09131245794918107,-0.07075724426009869,-0.04425708371198287,0.10435669751124747,0.13487481036236615,-0.016286731354043852,0.09102738515680234,0.09949895520829394,0.20264942851200454,0.04401117438872066,0.0789363779189861,0.06700453428393943,0.18017506989623272,0.20264942851200476,0.12027335333521595,0.05060444416455596,0.12819465647793182,-0.011751584892036803,0.41064851985343387,0.5424467291259505,0.24807443866806908
factor_health_value,0.05699277862462076,0.13671129679591942,-0.1737089158803913,0.1367112967959194,0.1911523908994181,-0.0052668065314971785,0.18077650590094552,0.14730418195742664,-0.1096940236233295,-0.039815719215486926,0.030681461724201352,0.1977774224990828,0.03857185087346654,0.14393358716086394,1.0,1.0,-0.033159646484229255,0.0022917113375690978,-0.13427774639211162,-0.16718073119063614,0.06912159617300855,-0.03528044759599944,0.12441395307994622,0.08108667148685746,0.03808435840399935,-0.03344871385602569,0.050370793407280796,0.023412488975383488,-0.10291428665241599,0.06986523926231926,0.05829998335404771,-0.03771033561961312,0.07866596295728845,0.1277478208697959,0.05334629085465192,0.1461045247087312,-0.0883270307157578,0.16363006927535537,0.4790215699548938,0.08837295350502201
factor_other,0.05699277862462076,0.13671129679591942,-0.1737089158803913,0.1367112967959194,0.1911523908994181,-0.0052668065314971785,0.18077650590094552,0.14730418195742664,-0.1096940236233295,-0.039815719215486926,0.030681461724201352,0.1977774224990828,0.03857185087346654,0.14393358716086394,1.0,1.0,-0.033159646484229255,0.0022917113375690978,-0.13427774639211162,-0.16718073119063614,0.06912159617300855,-0.03528044759599944,0.12441395307994622,0.08108667148685746,0.03808435840399935,-0.03344871385602569,0.050370793407280796,0.023412488975383488,-0.10291428665241599,0.06986523926231926,0.05829998335404771,-0.03771033561961312,0.07866596295728845,0.1277478208697959,0.05334629085465192,0.1461045247087312,-0.0883270307157578,0.16363006927535537,0.4790215699548938,0.08837295350502201
willing_to_try_pistachio,0.00931366604347734,0.011477451235599106,0.13700384474873623,0.051310958465031406,0.22557098121423405,0.2562175032342354,0.20989010881732376,0.06366134153242121,0.04428780603357252,0.11266819039423481,0.06872918978719515,0.181368695271765,0.3076299803859879,0.10225019557704361,-0.033159646484229255,-0.033159646484229255,1.0,-0.017302255437516772,0.027851299670606976,-0.04428780603357262,-0.573814567517013,-0.10781433867501869,0.07706746355884524,0.22166225237231307,-0.022463606347822764,0.03484660262185848,0.07761140001162654,0.08396223711454154,0.09481194446289043,-0.01976877835631601,0.2916801332810131,0.22264907731249534,0.12120864305257117,0.18558093976750703,0.13730476750355955,0.13924330021632153,0.12040576821567905,0.2534659411589398,0.2115456252735086,0.20697545276514998
willing_to_try_orange,0.018344908205675328,0.01737625689187315,-0.06581036274135652,0.059221120427404426,0.05494302525184644,0.07832223156394852,0.06877919135734191,0.08250446069461682,0.013707987285663277,-0.02943439886838427,0.056489507331770675,0.017047129431481126,0.16421443295365354,-0.10506111072706256,0.0022917113375690978,0.0022917113375690978,-0.017302255437516772,1.0,0.15555304185906374,0.23137420963983132,-0.3457171094794251,-0.06495698024616307,-0.204438266630207,-0.12023433378823047,0.03034013848311817,0.07393006717664631,0.0025478223832250406,0.04310615900632577,0.16883310618810543,-0.13803936845491285,0.00838591009044376,0.12615409708664194,-0.07427522782628433,0.0035063251548856865,0.09821910427362694,0.03746048187914249,0.08339706377450878,0.0778350199129532,0.037193264842398696,-0.03610402934995138
willing_to_try_carrot,-0.04501630988320132,0.11347998650519457,0.09425191917430459,0.17634683348929295,-0.008761786413287261,0.09432252213788848,0.05389106928510319,-0.19493925957690464,0.006864864377089795,0.1866618051952805,0.06779448632287553,-0.050720319397114265,0.12113130252156223,0.10954679137473394,-0.13427774639211162,-0.13427774639211162,0.027851299670606976,0.15555304185906374,1.0,0.2877002252580364,-0.1731327159821574,-0.03253000243161777,0.03832908968626752,0.1834972433645833,-0.044569446932635017,-0.1326381668569383,0.0012759316705849427,0.11956022934483665,0.33576865955683327,0.07524677658355408,0.08043859297375859,0.11759239659938166,0.0019926704890805783,0.04319620198480264,0.02889332259602631,-0.060299832607897084,0.16497043696489364,0.07363676763321539,0.06820243676784593,0.1478595047500716
willing_to_try_jalpai,-0.13773946996690034,0.1783627461555596,0.017317477782204396,0.12480853738620597,-0.06796058244020554,0.20047789793343465,0.15120170182849724,-0.20048426566375763,0.003721424774056345,0.08842760851816711,0.06887449220027203,0.06887449220027203,0.1966885647741177,-0.09131245794918107,-0.16718073119063614,-0.16718073119063614,-0.04428780603357262,0.23137420963983132,0.2877002252580364,1.0,-0.21555659689428772,-0.040501049044047055,-0.13800614721902543,-0.09216512149658693,0.17948155820821698,0.08083845407763973,-0.05760699414746551,0.06026092170607798,0.24872202474791624,-0.1688494798347196,0.07017416062305029,0.1606698162892721,0.06026092170607798,0.061927382674814194,0.19954334139730853,0.02853747403493426,0.10851275664163051,0.06637452517351454,0.03185327710053117,0.06913925983049408
