,"prefers_type_regular_cups_(chocolate,_vanilla,_strawberry,_mango)",prefers_type_premium_cups_(exclusive_flavors),prefers_type_cone,prefers_type_lolly,"prefers_type_ice_cream_sticks_(chocbar,_crunchy_bar_etc.)",prefers_type_box_or_tubs,prefers_type_scoops_(from_ice_cream_parlor),prefers_type_other,factor_taste,factor_price,factor_availability,factor_brand_reputation,factor_flavors,factor_packaging,factor_health_value,factor_other,willing_to_try_pistachio,willing_to_try_orange,willing_to_try_carrot,willing_to_try_jalpai,willing_to_try_none_of_these,willing_to_try_other,marketing_channel_social_media,marketing_channel_tv_ads,marketing_channel_word_of_mouth,marketing_channel_in-store_promotions___shopkeeper_recommendation,marketing_channel_billboards,marketing_channel_online_ads,marketing_channel_other,motivation_price_discounts,motivation_new_flavors,motivation_availability,motivation_attractive_packaging,motivation_brand_reputation,motivation_word_of_mouth,motivation_advertisement,motivation_other,num_types_preferred,num_purchase_factors,num_marketing_channels
factor_brand_reputation,0.20844671861827072,0.18953974290881284,0.12794834042128467,0.1033521141487361,0.2506718151542768,0.3687311025859646,0.24096455319245857,0.08871002454439064,0.08256383226492232,0.09540596630428205,0.14698795180722893,1.0,0.2789224012340273,0.26080294592376435,0.19777742249908284,0.19777742249908284,0.18136869527176502,0.017047129431481085,-0.05072031939711433,0.06887449220027199,-0.03850108293491152,-0.06003465857874313,0.19792877950296273,0.04802633068785029,-0.08540492923786452,0.030306830051390142,0.13731574173379424,0.3353360488206254,0.046282553869435535,0.04466071318767089,0.11227067530043353,0.19693384721452012,0.2950410857240533,0.5582573604050923,0.021220419605219656,0.2847465979096024,0.018608683229876126,0.40104660997507824,0.5690428706707178,0.2596298662976319
factor_flavors,0.08928104359436158,0.1736639828482629,0.1727399357260531,0.34337288534180344,0.08745171591430369,0.41092690884934757,0.33867200533867203,-0.020268272741866347,0.051804482799178715,0.17183885470247637,0.23893109704737453,0.2789224012340273,1.0,0.18283843835748995,0.03857185087346652,0.03857185087346652,0.3076299803859878,0.16421443295365354,0.12113130252156223,0.19668856477411756,-0.3130137560535569,-0.13678822577626595,0.06725503562825214,0.056289814533561994,0.14765945930065902,0.16228979693693021,0.18513512836978627,0.20978915883801696,-0.035714394047563075,-0.04335059295932699,0.3649585362677974,0.2797832477115979,0.13044582312363875,0.22681686519035402,0.37118431698688725,0.2143260169085331,0.07328335291793259,0.4314076930139687,0.5927461706545333,0.295544702608603
factor_packaging,0.14993023385707743,0.23214446182217796,0.24960235381223422,0.08052243325197317,0.34477945473970495,0.13514061940433383,0.19237783514135898,0.2089572372435574,-0.027092707303603168,0.18262081629132293,0.26080294592376435,0.26080294592376435,0.18283843835748995,1.0,0.14393358716086394,0.14393358716086394,0.10225019557704362,-0.10506111072706244,0.10954679137473403,-0.09131245794918105,-0.07075724426009868,-0.044257083711982864,0.10435669751124747,0.13487481036236618,-0.016286731354043838,0.09102738515680239,0.09949895520829397,0.20264942851200465,0.04401117438872065,0.07893637791898613,0.06700453428393943,0.18017506989623291,0.20264942851200465,0.12027335333521597,0.05060444416455599,0.12819465647793182,-0.011751584892036796,0.3790102719223241,0.5082606262067222,0.23783470454705333
factor_health_value,0.05699277862462067,0.13671129679591945,-0.17370891588039128,0.13671129679591945,0.19115239089941796,-0.005266806531497233,0.1807765059009455,0.1473041819574265,-0.10969402362332964,-0.039815719215486975,0.030681461724201397,0.19777742249908284,0.03857185087346652,0.14393358716086394,1.0,1.0,-0.03315964648422946,0.0022917113375691255,-0.13427774639211162,-0.1671807311906361,0.06912159617300849,-0.03528044759599941,0.12441395307994624,0.08108667148685746,0.038084358403999444,-0.03344871385602567,0.05037079340728082,0.02341248897538346,-0.10291428665241595,0.06986523926231927,0.05829998335404766,-0.03771033561961307,0.07866596295728842,0.12774782086979591,0.05334629085465196,0.14610452470873117,-0.08832703071575775,0.12959538134755821,0.39109410277730305,0.062272559643485374
factor_other,0.05699277862462067,0.13671129679591945,-0.17370891588039128,0.13671129679591945,0.19115239089941796,-0.005266806531497233,0.1807765059009455,0.1473041819574265,-0.10969402362332964,-0.039815719215486975,0.030681461724201397,0.19777742249908284,0.03857185087346652,0.14393358716086394,1.0,1.0,-0.03315964648422946,0.0022917113375691255,-0.13427774639211162,-0.1671807311906361,0.06912159617300849,-0.03528044759599941,0.12441395307994624,0.08108667148685746,0.038084358403999444,-0.03344871385602567,0.05037079340728082,0.02341248897538346,-0.10291428665241595,0.06986523926231927,0.05829998335404766,-0.03771033561961307,0.07866596295728842,0.12774782086979591,0.05334629085465196,0.14610452470873117,-0.08832703071575775,0.12959538134755821,0.39109410277730305,0.062272559643485374
willing_to_try_pistachio,0.009313666043477328,0.01147745123559913,0.13700384474873628,0.051310958465031406,0.22557098121423413,0.2562175032342354,0.20989010881732367,0.06366134153242126,0.04428780603357259,0.11266819039423485,0.06872918978719517,0.18136869527176502,0.3076299803859878,0.10225019557704362,-0.03315964648422946,-0.03315964648422946,1.0,-0.017302255437516803,0.027851299670606976,-0.04428780603357259,-0.5738145675170131,-0.10781433867501865,0.07706746355884525,0.221662252372313,-0.022463606347822747,0.03484660262185848,0.07761140001162654,0.08396223711454152,0.09481194446289046,-0.01976877835631604,0.2916801332810131,0.22264907731249534,0.12120864305257123,0.18558093976750706,0.13730476750355963,0.1392433002163215,0.12040576821567912,0.2728409393815789,0.2172182679472046,0.20619370872863968
willing_to_try_orange,0.01834490820567529,0.017376256891873162,-0.06581036274135652,0.05922112042740445,0.05494302525184644,0.07832223156394848,0.06877919135734187,0.08250446069461678,0.013707987285663253,-0.029434398868384278,0.056489507331770654,0.017047129431481085,0.16421443295365354,-0.10506111072706244,0.0022917113375691255,0.0022917113375691255,-0.017302255437516803,1.0,0.15555304185906377,0.23137420963983127,-0.3457171094794251,-0.06495698024616309,-0.204438266630207,-0.12023433378823045,0.030340138483118118,0.07393006717664634,0.002547822383224974,0.04310615900632578,0.1688331061881054,-0.13803936845491285,0.008385910090443793,0.12615409708664183,-0.07427522782628443,0.003506325154885731,0.09821910427362698,0.037460481879142464,0.08339706377450878,0.038484830238825735,0.01993601102550438,-0.055191355705148104
willing_to_try_carrot,-0.04501630988320137,0.11347998650519463,0.09425191917430463,0.17634683348929306,-0.008761786413287256,0.09432252213788851,0.0538910692851032,-0.19493925957690475,0.006864864377089805,0.18666180519528047,0.06779448632287559,-0.05072031939711433,0.12113130252156223,0.10954679137473403,-0.13427774639211162,-0.13427774639211162,0.027851299670606976,0.15555304185906377,1.0,0.2877002252580364,-0.17313271598215743,-0.03253000243161777,0.038329089686267526,0.1834972433645833,-0.044569446932635114,-0.13263816685693836,0.0012759316705849213,0.11956022934483651,0.3357686595568335,0.07524677658355418,0.08043859297375862,0.11759239659938159,0.0019926704890806082,0.04319620198480262,0.028893322596026304,-0.06029983260789702,0.1649704369648936,0.014555782648692565,0.09228283244734256,0.15083637259435945
willing_to_try_jalpai,-0.1377394699669002,0.17836274615555972,0.017317477782204372,0.12480853738620591,-0.0679605824402055,0.2004778979334346,0.15120170182849724,-0.20048426566375752,0.003721424774056353,0.08842760851816704,0.06887449220027199,0.06887449220027199,0.19668856477411756,-0.09131245794918105,-0.1671807311906361,-0.1671807311906361,-0.04428780603357259,0.23137420963983127,0.2877002252580364,1.0,-0.21555659689428777,-0.04050104904404708,-0.1380061472190254,-0.09216512149658683,0.17948155820821687,0.08083845407763977,-0.05760699414746551,0.06026092170607799,0.24872202474791616,-0.16884947983471957,0.07017416062305029,0.16066981628927196,0.06026092170607799,0.061927382674814194,0.19954334139730864,0.028537474034934222,0.1085127566416305,0.05786477527406613,0.068958529601326,0.08412358709624981
willing_to_try_none_of_these,0.03921102332170313,-0.03242432936095749,-0.03724781584964576,-0.13180279337635967,-0.11481277662310692,-0.14615033883979847,-0.14810513551098387,0.013379300093671479,0.09914616928089666,-0.06291407335205267,-0.17901018972829996,-0.03850108293491152,-0.3130137560535569,-0.07075724426009868,0.06912159617300849,0.06912159617300849,-0.5738145675170131,-0.3457171094794251,-0.17313271598215743,-0.21555659689428777,1.0,-0.04548929273451369,0.020600512393626688,-0.06140405107575562,-0.07685929676331929,-0.12358677710444785,-0.08975487142104766,-0.04724951432916792,-0.047596703922186595,0.14143251506134843,-0.18996721631086236,-0.1862518376330401,-0.000787491905486132,-0.04163631791214144,-0.10765990479675407,-0.06990176365529997,-0.11388557771741808,-0.13134558770121343,-0.13020302766008007,-0.16532625621283858
